title,year,language,period,opening_weekend_cr,opening_weekend_note,wide_release_flag,genre,genre_primary,certification,cert_subband,has_certification,runtime_minutes,theatrical_release,festival_release,cast,director,production,star_power_flag,star_prior_mean_log,star_prior_count,lead_cast_popularity,popularity,sequel_flag,release_weekday,release_month,rating,rating_count,total_gross,india_net,overseas,budget,budget_cr,sacnilk_slug,wiki_title,tmdb_id
Mohenjo Daro,2016,Hindi,pre_covid,30.550000190734863,ok,True,"Adventure, Romantic",Adventure,UA,U/A,True,169.0,12 Aug 2016,False,,,,0,2.774163328619679,134,2.8228,1.8905,0,Friday,8,6.1,96.0,Rs107.9 Cr,Rs58.23 Cr,Rs29.29 Cr,Rs120.0 Cr,120.0,Mohenjo_Daro_2016,Mohenjo Daro (film),402672.0
Mr. X,2015,Hindi,pre_covid,5.599999904632568,ok,True,Thriller,Thriller,,,False,133.0,17 Apr 2015,False,,,,0,2.770976867838816,83,1.7427,1.1036,0,Friday,4,4.917,24.0,Rs37.0 Cr,Rs24.55 Cr,Rs3.86 Cr,Rs35.0 Cr,35.0,Mr._X_2015,Mr. X (2015 film),329909.0
Mumbai Saga,2021,Hindi,during_covid,8.700000047683716,ok,True,Crime,Crime,A,A,True,125.0,19 Mar 2021,False,John Abraham; Sunil Shetty; Gulshan Grover; Emraan Hashmi; Prateik Babbar; Jackie Shroff; Kajal Aggarwal,Sanjay Gupta (director),White Feather Films,1,3.881563778280049,5,2.4194,1.6271,0,Friday,3,5.667,27.0,Rs22.0 Cr,Rs16.5 Cr,Rs2.8 Cr,Rs40.0 Cr,40.0,Mumbai_Saga_2020,Mumbai Saga,608746.0
Murder 3,2013,Hindi,pre_covid,13.420000076293944,ok,True,Thriller,Thriller,UA,UA,True,123.0,15 Feb 2013,False,,,,0,2.2108385587839936,6,2.0493,1.3031,1,Friday,2,3.7,30.0,Rs33.1 Cr,Rs22.53 Cr,Rs2.68 Cr,Rs15.0 Cr,15.0,Murder_3_2013,Murder 3,168114.0
NH10,2015,Hindi,pre_covid,13.399999856948853,ok,True,Thriller,Thriller,A,A,True,115.0,13 Mar 2015,False,,,,0,2.7828011307120293,79,1.2532,1.6225,0,Friday,3,6.9,92.0,Rs43.9 Cr,Rs32.18 Cr,Rs0.46 Cr,Rs15.0 Cr,15.0,NH10_2015,NH10 (film),330431.0
Nautanki Saala,2013,Hindi,pre_covid,13.199999809265137,ok,True,"Comedy, Drama, Romantic",Comedy,U,U,True,,12 Apr 2013,False,,,,0,2.470571290843116,14,1.235,0.9976,0,Friday,4,5.115,26.0,Rs32.63 Cr,Rs21.52 Cr,Rs3.58 Cr,Rs15.0 Cr,15.0,Nautanki_Saala_2013,Nautanki Saala!,184793.0
Neerja,2016,Hindi,pre_covid,21.94999933242798,ok,True,"Biopic, Drama",Biopic,UA,UA,True,121.0,19 Feb 2016,False,,,,0,2.7697549723960035,118,1.5151,1.7496,0,Friday,2,7.3,245.0,Rs120.35 Cr,Rs75.52 Cr,Rs18.4 Cr,Rs25.0 Cr,25.0,Neerja,Neerja,376869.0
O Romeo,2026,Hindi,post_covid,30.149999618530273,ok,True,"Action, Comedy, Thriller",Action,A,A,True,178.0,13 Feb 2026,False,Shahid Kapoor; Vikrant Massey; Avinash Tiwary; Nana Patekar; Tripti Dimri; Disha Patani; Tamannaah,Vishal Bhardwaj,Nadiadwala Grandson Entertainment,1,3.4770682741006254,6,1.5961,2.273,0,Friday,2,5.647,17.0,Rs110.81 Cr,Rs72.99 Cr,Rs24.75 Cr,,149.4,O_Romeo_2026,O'Romeo,1275574.0
Ohh My Dog,2026,Hindi,post_covid,3.200000047683716,ok,True,"Adventure, Drama",Adventure,UA,U/A,True,150.0,07 Aug 2026,False,Pankaj Tripathi; Shreedhar Dubey; Jitendra Joshi; Rajesh Kumar; Geeta Agrawal Sharma,Amit Rai,Thinking Hats Entertainment Solutions,1,2.954783156291055,10,1.2326,2.1677,0,Friday,8,0.0,0.0,Rs5.88 Cr,Rs4.98 Cr,Rs0.0 Cr,,,Ohh_My_Dog_2026,Ohh My Dog,1727563.0
Once Upon Ay Time In Mumbai Dobaara!,2013,Hindi,pre_covid,28.699999809265137,ok,True,,,,,False,152.0,15 Aug 2013,True,,,,0,2.655474832336331,28,,,0,Thursday,8,,,Rs91.7 Cr,Rs61.09 Cr,Rs9.23 Cr,Rs75.0 Cr,75.0,Once_Upon_Ay_Time_In_Mumbai_Dobaara!_2013,Once Upon ay Time in Mumbai Dobaara!,
PK,2014,Hindi,pre_covid,95.40999794006348,ok,True,Comedy,Comedy,UA,U/A,True,152.0,19 Dec 2014,False,Boman Irani; Parikshit Sahni; Saurabh Shukla; Aamir Khan; Ranbir Kapoor; Sushant Singh Rajput; Sanjay Dutt; Anushka Sharma,Rajkumar Hirani,Vinod Chopra Films,1,4.439469724807757,1,3.612,7.1924,0,Friday,12,7.701,1212.0,Rs792.0 Cr,Rs340.8 Cr,Rs303.0 Cr,Rs85.0 Cr,85.0,PK_2014,PK (film),297222.0
Panga,2020,Hindi,during_covid,14.910000085830688,ok,True,"Drama, Sports",Drama,U,U,True,131.0,24 Jan 2020,False,Jassi Gill; Neena Gupta; Kangana Ranaut; Richa Chaddha,Ashwiny Iyer Tiwari,Fox Star Studios,1,3.6724959845576874,2,1.2244,1.1005,0,Friday,1,6.714,28.0,Rs40.0 Cr,Rs27.34 Cr,Rs8.0 Cr,Rs49.0 Cr,49.0,Panga_2020,Panga (film),656007.0
Pati Patni Aur Woh Do,2026,Hindi,post_covid,17.5,ok,True,"Comedy, Romantic",Comedy,UA,U/A,True,122.0,15 May 2026,False,Ayushmann Khurrana; Rakul Preet Singh; Sara Ali Khan; Wamiqa Gabbi,Mudassar Aziz,T-Series,1,3.805660434200032,12,2.1739,5.1488,0,Friday,5,6.0,20.0,Rs67.96 Cr,Rs51.38 Cr,Rs7.85 Cr,,,Pati_Patni_Aur_Woh_Do_2026,Pati Patni Aur Woh Do,1320660.0
Phantom,2015,Hindi,pre_covid,33.22000026702881,ok,True,"Action, Thriller",Action,,,False,135.0,28 Aug 2015,False,,,,0,2.7173169476109216,97,8.6819,21.1611,0,Friday,8,6.583,16218.0,Rs84.4 Cr,Rs54.24 Cr,Rs11.18 Cr,Rs70.0 Cr,70.0,Phantom_2015,Phantom (2015 film),1893.0
Phata Poster Nikla Hero,2013,Hindi,pre_covid,20.34999990463257,ok,True,"Action, Comedy",Action,U,U,True,,20 Sep 2013,False,,,,0,2.731639542492259,33,1.5647,1.3359,0,Friday,9,5.123,69.0,Rs63.14 Cr,Rs36.37 Cr,Rs14.04 Cr,Rs40.0 Cr,40.0,Phata_Poster_Nikla_Hero_2013,Phata Poster Nikhla Hero,222430.0
Piku,2015,Hindi,pre_covid,25.350000858306885,ok,True,"Comedy, Drama",Comedy,UA,UA,True,122.0,08 May 2015,False,,,,0,2.7714967878131627,85,2.5376,2.1046,0,Friday,5,7.2,226.0,Rs141.3 Cr,Rs79.42 Cr,Rs34.08 Cr,Rs40.0 Cr,40.0,Piku_2015,Piku,332835.0
Pink,2016,Hindi,pre_covid,21.51000070571899,ok,True,"Drama, Thriller",Drama,UA,UA,True,136.0,16 Sep 2016,False,Amitabh Bachchan; Taapsee Pannu,Aniruddha Roy Chowdhury,Rising Sun Films,1,,0,1.9944,2.132,0,Friday,9,7.374,250.0,Rs104.3 Cr,Rs65.42 Cr,Rs15.99 Cr,Rs23.0 Cr,23.0,Pink_2016,Pink (2016 film),415358.0
Prem Ratan Dhan Payo,2015,Hindi,pre_covid,89.41999816894531,ok,True,"Drama, Romantic",Drama,UA,U/A,True,184.0,12 Nov 2015,True,Neil Nitin Mukesh; Deepak Dobriyal; Salman Khan; Anupam Kher; Sonam Kapoor; Swara Bhaskar,Sooraj Barjatya,Rajshri Productions,1,4.54000351995229,2,4.8341,1.7845,0,Thursday,11,5.287,129.0,Rs405.85 Cr,Rs210.16 Cr,Rs95.85 Cr,Rs180.0 Cr,180.0,Prem_Ratan_Dhan_Payo_2015,Prem Ratan Dhan Payo,362136.0
Pyaar Ka Punchnama 2,2015,Hindi,pre_covid,22.90000009536743,ok,True,,,,,False,149.0,16 Oct 2015,False,,,,0,2.750327657187525,105,1.3416,1.3715,1,Friday,10,6.489,88.0,Rs88.2 Cr,Rs64.21 Cr,Rs1.52 Cr,Rs22.0 Cr,22.0,Pyaar_Ka_Punchnama_2_2015,Pyaar Ka Punchnama,363413.0
Queen,2014,Hindi,pre_covid,9.899999737739565,ok,True,"Comedy, Drama",Comedy,,,False,146.0,07 Mar 2014,False,,,,0,2.789029223667163,46,3.3152,5.3028,0,Friday,3,7.193,436.0,Rs93.05 Cr,Rs60.83 Cr,Rs10.93 Cr,Rs20.0 Cr,20.0,Queen_2014,Queen (2013 film),10452.0
R... Rajkumar,2013,Hindi,pre_covid,29.649999618530273,ok,True,Action,Action,UA,UA,True,146.0,06 Dec 2013,False,,,,0,2.737441632262997,39,1.8786,1.4533,0,Friday,12,6.083,108.0,Rs100.2 Cr,Rs65.95 Cr,Rs11.3 Cr,Rs56.0 Cr,56.0,R..._Rajkumar_2013,R... Rajkumar,240614.0
Raanjhanaa,2013,Hindi,pre_covid,19.90000009536743,ok,True,"Drama, Romantic",Drama,U,U,True,146.0,21 Jun 2013,False,,,,0,2.6006133096444204,23,2.3293,1.3992,0,Friday,6,6.617,171.0,Rs93.97 Cr,Rs60.22 Cr,Rs12.67 Cr,Rs30.0 Cr,30.0,Raanjhanaa_2013,Raanjhanaa,191121.0
Raaz Reboot,2016,Hindi,pre_covid,18.09999990463257,ok,True,Thriller,Thriller,UA,UA,True,128.0,16 Sep 2016,False,,,,0,2.7869820391295708,141,1.605,1.1625,0,Friday,9,4.017,30.0,Rs43.0 Cr,Rs30.31 Cr,Rs2.09 Cr,Rs31.0 Cr,31.0,Raaz_Reboot_2016,Raaz: Reboot,363335.0
Race 2,2013,Hindi,pre_covid,51.34999942779541,ok,True,"Action, Thriller",Action,UA,UA,True,150.0,25 Jan 2013,False,Saif Ali Khan; Aditya Pancholi; John Abraham; Anil Kapoor; Deepika Padukone; Ameesha Patel; Jacqueline Fernandez,,,1,,0,3.7535,1.7965,1,Friday,1,5.454,131.0,Rs162.0 Cr,Rs101.45 Cr,Rs30.12 Cr,Rs85.0 Cr,85.0,Race_2_2013,Race 2,44749.0
Ragini MMS 2,2014,Hindi,pre_covid,24.34999990463257,ok,True,,,A,A,True,119.0,21 Mar 2014,False,,,,0,2.756667400714723,49,1.1798,1.6137,1,Friday,3,4.7,40.0,Rs62.54 Cr,Rs46.78 Cr,Rs0.8 Cr,Rs18.0 Cr,18.0,Ragini_MMS_2_2014,Ragini MMS 2,260266.0
Rahu Ketu,2026,Hindi,post_covid,4.399999976158142,ok,True,"Adventure, Comedy, Fantasy",Adventure,UA,U/A 16+,True,139.0,16 Jan 2026,False,Pulkit Samrat; Chunky Pandey; Varun Sharma; Piyush Mishra; Shalini Pandey,Vipul Vig,Zee Studio,1,3.5950410803146546,6,1.2667,1.4328,0,Friday,1,3.75,2.0,Rs7.6 Cr,Rs6.42 Cr,Rs0.0 Cr,,,Rahu_Ketu_2026,Rahu Ketu (2026 film),1457939.0
Raja Natwarlal,2014,Hindi,pre_covid,17.369999885559082,ok,True,"Comedy, Crime",Comedy,U,U,True,140.0,29 Aug 2014,False,,,,0,2.7684971497337187,60,1.605,1.6164,0,Friday,8,6.463,27.0,Rs44.27 Cr,Rs26.6 Cr,Rs8.36 Cr,Rs45.0 Cr,45.0,Raja_Natwarlal_2014,Raja Natwarlal,287859.0
Ramaiya Vastavaiya,2013,Hindi,pre_covid,14.330000162124634,ok,True,"Action, Comedy, Drama, Romantic",Action,U,U,True,148.0,19 Jul 2013,False,,,,0,2.6520836240209937,26,1.2854,1.6427,0,Friday,7,6.292,48.0,Rs50.0 Cr,Rs36.0 Cr,Rs1.4 Cr,Rs38.0 Cr,38.0,Ramaiya_Vastavaiya_2013,Ramaiya Vastavaiya,208036.0
Ramprasad Ki Tehrvi,2021,Hindi,during_covid,0.550000011920929,ok,True,"Comedy, Drama",Comedy,UA,U/A,True,115.0,01 Jan 2021,False,Naseeruddin Shah; Vikrant Massey; Vinay Pathak; Supriya Pathak; Konkona Sen Sharma,Seema Pahwa,Jio Studios,1,2.706736271567241,2,2.286,1.2402,0,Friday,1,6.6,25.0,Rs1.87 Cr,Rs1.57 Cr,Rs0.0 Cr,Rs10.0 Cr,10.0,Ramprasad_Ki_Tehrvi_2021,Ramprasad Ki Tehrvi,643807.0
Return of the Jungle,2026,Hindi,post_covid,0.6600000113248825,ok,True,"Adventure, Animation, Comedy, Drama",Adventure,,,False,,29 May 2026,False,,,,0,1.348683462941115,553,,1.4189,0,Friday,5,0.0,0.0,Rs1.78 Cr,Rs1.52 Cr,Rs0.0 Cr,,,Return_of_the_Jungle_2026,Return of the Jungle,1206167.0
Revolver Rani,2014,Hindi,pre_covid,5.899999976158142,ok,True,"Crime, Drama",Crime,UA,UA,True,133.0,25 Apr 2014,False,,,,0,2.7773062051869846,52,1.5321,0.9469,0,Friday,4,3.625,8.0,Rs13.84 Cr,Rs10.25 Cr,Rs0.0 Cr,Rs22.0 Cr,22.0,Revolver_Rani_2014,Revolver Rani,266550.0
Rock On 2,2016,Hindi,pre_covid,7.0,ok,True,Drama,Drama,UA,U/A,True,143.0,11 Nov 2016,False,,,,0,2.776859725932701,144,2.6359,0.9551,1,Friday,11,4.833,15.0,Rs17.8 Cr,Rs10.56 Cr,Rs3.54 Cr,Rs40.0 Cr,40.0,Rock_On_2_2016,Rock On 2,413588.0
Rocky Handsome,2016,Hindi,pre_covid,10.829999923706056,ok,True,"Action, Thriller",Action,UA,UA,True,126.0,24 Mar 2016,True,,,,0,2.772188824328338,122,2.4194,1.3177,0,Thursday,3,6.288,78.0,Rs35.6 Cr,Rs25.08 Cr,Rs1.74 Cr,Rs40.0 Cr,40.0,Rocky_Handsome,Rocky Handsome,376873.0
Roohi,2021,Hindi,during_covid,8.799999952316284,ok,True,"Comedy, Horror",Comedy,UA,UA,True,134.0,11 Mar 2021,False,Rajkummar Rao; Pankaj Tripathi; Varun Sharma; Ronit Roy; Janhvi Kapoor; Seema Pahwa; Aamna Sharif,Hardik Mehta,Maddock Films,1,2.387265503208174,9,1.6852,1.3097,0,Thursday,3,4.5,41.0,Rs28.7 Cr,Rs21.93 Cr,Rs3.0 Cr,Rs25.0 Cr,25.0,Rooh_Afza_2020,Roohi (2021 film),694103.0
Roy,2015,Hindi,pre_covid,17.52999973297119,ok,True,"Drama, Romantic",Drama,UA,UA,True,140.0,13 Feb 2015,False,,,,0,2.7866379410049387,76,2.6689,1.3293,0,Friday,2,4.621,29.0,Rs56.05 Cr,Rs44.56 Cr,Rs3.47 Cr,Rs50.0 Cr,50.0,Roy_2015,Roy (2015 film),316900.0
Rustom,2016,Hindi,pre_covid,50.41999912261963,ok,True,"Crime, Thriller",Crime,,,False,,12 Aug 2016,False,,,,0,2.774163328619679,134,2.5295,1.5032,0,Friday,8,6.77,148.0,Rs216.35 Cr,Rs127.49 Cr,Rs39.28 Cr,Rs50.0 Cr,50.0,Rustom_2016,Rustom (film),392572.0
Saaho,2019,Hindi,pre_covid,79.08,ok,True,Action,Action,UA,U/A 13+,True,170.0,30 Aug 2019,False,Prabhas; Neil Nitin Mukesh; Vennela Kishore; Arun Vijay; Murali Sharma; Mahesh Manjrekar; Jackie Shroff; Chunky Pandey; Tinnu Anand; Evelyn Sharma; +2 more,Sujeeth,Yash Raj Films,1,4.820281565605037,2,1.8911,2.5148,0,Friday,8,5.7,117.0,Rs451.0 Cr,Rs145.67 Cr,Rs92.0 Cr,Rs350.0 Cr,350.0,Saaho_2019,Saaho,454292.0
Saala Khadoos,2016,Hindi,pre_covid,10.03000020980835,ok,True,"Drama, Sports",Drama,U,U,True,109.0,29 Jan 2016,False,,,,0,2.7668840353801514,113,1.9273,1.3274,0,Friday,1,7.341,66.0,Rs21.0 Cr,Rs14.85 Cr,Rs0.96 Cr,Rs20.0 Cr,20.0,Saala_Khadoos,Irudhi Suttru,357706.0
Sab Kushal Mangal,2020,Hindi,during_covid,0.7500000149011612,ok,True,"Comedy, Romantic",Comedy,,,False,,03 Jan 2020,False,Akshaye Khanna; Priyaank Sharma; Riva Kishan,Karan Vishwanath Kashyap,One Up Entertainment,1,2.59072563497756,3,2.4836,0.7842,0,Friday,1,4.0,1.0,Rs1.4 Cr,Rs1.15 Cr,Rs0.05 Cr,Rs15.0 Cr,15.0,Sab_Kushal_Mangal,Sab Kushal Mangal,659672.0
"Saheb, Biwi Aur Gangster Returns",2013,Hindi,pre_covid,12.619999647140505,ok,True,,,A,A,True,124.0,08 Mar 2013,False,,,,0,2.358594080129841,9,2.5376,1.5553,1,Friday,3,6.87,27.0,Rs29.32 Cr,Rs21.63 Cr,Rs0.12 Cr,Rs19.0 Cr,19.0,"Saheb,_Biwi_Aur_Gangster_Returns_2013","Saheb, Biwi Aur Gangster Returns",172817.0
Saina,2021,Hindi,during_covid,0.75,ok,True,"Biopic, Sports",Biopic,U,U,True,135.0,26 Mar 2021,False,Paresh Rawal; Manav Kaul; Parineeti Chopra,Amole Gupte,T-Series,1,4.005900614354643,4,1.2489,1.1983,0,Friday,3,6.4,9.0,Rs1.5 Cr,Rs1.1 Cr,Rs0.2 Cr,Rs25.0 Cr,25.0,Saina,Saina (film),801831.0
Sairat,2016,Hindi,pre_covid,12.1,ok,True,"Drama, Romantic",Drama,UA,U/A,True,174.0,29 Apr 2016,False,Akash Thosar; Rinku Rajguru,Nagraj Manjule,Zee Studio,1,,0,0.7806,1.4213,0,Friday,4,7.6,74.0,Rs110.0 Cr,Rs80.98 Cr,Rs6.0 Cr,Rs4.0 Cr,4.0,Sairat_2016,Sairat,383367.0
Sanam Re,2016,Hindi,pre_covid,17.119999885559082,ok,True,Romantic,Romantic,A,A,True,153.0,12 Feb 2016,False,,,,0,2.769161141763457,116,1.6022,1.1297,0,Friday,2,5.958,60.0,Rs39.0 Cr,Rs27.65 Cr,Rs1.67 Cr,Rs25.0 Cr,25.0,Sanam_Re,Sanam Teri Kasam (2016 film),382717.0
Sanam Teri Kasam,2016,Hindi,pre_covid,4.559999942779541,ok,True,Romantic,Romantic,UA,UA,True,153.0,05 Feb 2016,False,Manish Chaudhari; Sudesh Berry; Harshvardhan Rane; Murali Sharma; Mawra Hocane,Radhika Rao,,1,,0,1.9806,1.9351,0,Friday,2,7.916,148.0,Rs54.2 Cr,Rs42.28 Cr,Rs2.8 Cr,Rs18.0 Cr,18.0,Sanam_Teri_Kasam_2016,Sanam Teri Kasam (2016 film),381418.0
Sarbjit,2016,Hindi,pre_covid,13.97000002861023,ok,True,Drama,Drama,UA,UA,True,131.0,20 May 2016,False,,,,0,2.7808567675341567,127,2.5696,1.1522,0,Friday,5,7.625,36.0,Rs41.5 Cr,Rs27.21 Cr,Rs4.76 Cr,Rs30.0 Cr,30.0,Sarbjit_2016,Sarbjit (film),393421.0
Satyagraha,2013,Hindi,pre_covid,39.140000343322754,ok,True,Drama,Drama,UA,UA,True,153.0,30 Aug 2013,False,,,,0,2.6956628737857047,30,2.8855,1.0062,0,Friday,8,6.125,40.0,Rs91.05 Cr,Rs63.75 Cr,Rs4.99 Cr,Rs60.0 Cr,60.0,Satyagraha_2013,Satyagraha (film),217446.0
Satyameva Jayate 2,2021,Hindi,during_covid,6.8999998569488525,ok,True,Action,Action,UA,UA,True,138.0,25 Nov 2021,False,Anup Soni; Harsh Chhaya; John Abraham; Sahil Vaid; Gautami Kapoor; Divya Khosla Kumar,Milap Milan Zaveri,T-Series,1,3.228278427370689,6,2.4194,1.2544,1,Thursday,11,5.5,25.0,Rs15.0 Cr,Rs14.16 Cr,Rs2.6 Cr,Rs60.0 Cr,60.0,Satyameva_Jayate_2_2020,Satyameva Jayate 2,695973.0
Shaadi Ke Side Effects,2014,Hindi,pre_covid,21.27999973297119,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,145.0,28 Feb 2014,False,,,,0,2.7820367752359014,45,1.5321,1.0105,0,Friday,2,5.343,35.0,Rs69.7 Cr,Rs37.24 Cr,Rs19.43 Cr,Rs41.0 Cr,41.0,Shaadi_Ke_Side_Effects_2014,Shaadi Ke Side Effects,254418.0
Shaandaar,2015,Hindi,pre_covid,20.399999618530273,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,144.0,22 Oct 2015,False,,,,0,2.7543234195058286,106,5.2232,1.5889,0,Thursday,10,4.313,67.0,Rs73.3 Cr,Rs43.1 Cr,Rs13.35 Cr,Rs69.0 Cr,69.0,Shaandaar_2015,Shaandaar (2015 film),362140.0
Shamitabh,2015,Hindi,pre_covid,13.25,ok,True,,,UA,UA,True,135.0,06 Feb 2015,False,,,,0,2.788369688128809,75,2.3293,1.1461,0,Friday,2,6.008,61.0,Rs37.2 Cr,Rs22.27 Cr,Rs7.14 Cr,Rs40.0 Cr,40.0,Shamitabh_2015,Shamitabh,323426.0
Shatak: Sangh Ke 100 Varsh,2026,Hindi,post_covid,1.1500000059604645,ok,True,"Drama, Historical, Social",Drama,,,False,112.0,20 Feb 2026,False,,Aashish Mall,Panorama Studios,0,1.3559891458971414,547,,,0,Friday,2,,,Rs2.71 Cr,Rs2.31 Cr,Rs0.0 Cr,,,Shatak_Sangh_Ke_100_Varsh_2026,Shatak: Sangh Ke 100 Varsh,
Shikara,2020,Hindi,during_covid,4.950000047683716,ok,True,Drama,Drama,UA,UA,True,120.0,07 Feb 2020,False,Aadil Khan; Sadia,Vidhu Vinod Chopra,Vinod Chopra Films,0,,0,1.0497,1.6783,0,Friday,2,4.2,9.0,Rs11.5 Cr,Rs8.25 Cr,Rs1.5 Cr,Rs25.0 Cr,25.0,Shikara_2020,Shikara (2020 film),661671.0
Shivaay,2016,Hindi,pre_covid,28.5600004196167,ok,True,"Action, Thriller",Action,UA,UA,True,162.0,28 Oct 2016,True,Ajay Devgn,Ajay Devgn,,1,3.775217833328165,2,2.8855,1.3541,0,Friday,10,5.9,67.0,Rs147.29 Cr,Rs100.45 Cr,Rs8.74 Cr,Rs100.0 Cr,100.0,Shivaay_2016,Shivaay,370992.0
Shootout at Wadala,2013,Hindi,pre_covid,30.450000762939453,ok,True,Crime,Crime,A,A,True,150.0,03 May 2013,False,,,,0,2.538497450309201,18,3.7535,0.0717,0,Friday,5,5.5,44.0,Rs83.7 Cr,Rs58.65 Cr,Rs4.52 Cr,Rs45.0 Cr,45.0,Shootout_at_Wadala_2013,Shootout at Wadala,188640.0
Shubh Mangal Zyada Saavdhan,2020,Hindi,during_covid,32.65999984741211,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,117.0,21 Feb 2020,False,Ayushmann Khurrana; Gajraj Rao; Jitu Kumar; Neena Gupta; Maanvi Gagroo,Hitesh Kewalya,T-Series,1,3.2739396360181523,6,1.5081,1.4879,0,Friday,2,6.031,64.0,Rs83.0 Cr,Rs62.05 Cr,Rs10.0 Cr,Rs35.0 Cr,35.0,Shubh_Mangal_Zyada_Saavdhan_2020,Shubh Mangal Zyada Saavdhan,606535.0
Shuddh Desi Romance,2013,Hindi,pre_covid,23.12000036239624,ok,True,"Comedy, Romantic",Comedy,UA,UA,True,141.0,06 Sep 2013,False,,,,0,2.727814824693305,31,1.7906,1.1414,0,Friday,9,5.743,70.0,Rs75.2 Cr,Rs46.45 Cr,Rs12.5 Cr,Rs25.0 Cr,25.0,Shuddh_Desi_Romance_2013,Shuddh Desi Romance,209410.0
Singh Is Bliing,2015,Hindi,pre_covid,54.44000053405762,ok,True,"Action, Comedy",Action,UA,UA,True,139.0,02 Oct 2015,False,,,,0,2.7376797061300935,103,2.5295,1.1561,0,Friday,10,5.27,87.0,Rs146.0 Cr,Rs90.05 Cr,Rs26.0 Cr,Rs76.0 Cr,76.0,Singh_Is_Bliing_2015,Singh Is Bliing,283827.0
Singh Saab The Great,2013,Hindi,pre_covid,18.570000171661377,ok,True,"Action, Drama",Action,,,False,150.0,22 Nov 2013,False,,,,0,2.718770694454564,37,2.2631,1.3696,0,Friday,11,4.795,22.0,Rs38.0 Cr,Rs26.44 Cr,Rs2.31 Cr,Rs35.0 Cr,35.0,Singh_Saab_The_Great_2013,Singh Saab the Great,238408.0
Singham Returns,2014,Hindi,pre_covid,77.73999977111816,ok,True,Action,Action,UA,U/A,True,145.0,15 Aug 2014,True,Ajay Devgn; Kareena Kapoor Khan,Rohit Shetty,Rohit Shetty Productions,1,,0,2.8855,1.607,1,Friday,8,6.091,137.0,Rs216.56 Cr,Rs140.6 Cr,Rs16.56 Cr,Rs105.0 Cr,105.0,Singham_Returns_2014,Singham Returns,285803.0
Sooryavanshi,2021,Hindi,during_covid,77.08000183105469,ok,True,Action,Action,UA,U/A,True,145.0,05 Nov 2021,True,Jackie Shroff; Ajay Devgn; Akshay Kumar; Gulshan Grover; Ranveer Singh; Niharica Raizada; Katrina Kaif,Rohit Shetty,Rohit Shetty Productions,1,3.7496338142513967,13,2.5295,2.4733,0,Friday,11,5.773,183.0,Rs293.0 Cr,Rs195.55 Cr,Rs62.2 Cr,Rs180.0 Cr,180.0,Sooryavanshi_2020,Sooryavanshi,592508.0
Special 26,2013,Hindi,pre_covid,27.049999713897705,ok,True,"Crime, Thriller",Crime,UA,UA,True,144.0,08 Feb 2013,False,,,,0,1.9848947856292256,3,2.6412,1.9513,0,Friday,2,7.317,238.0,Rs103.04 Cr,Rs66.86 Cr,Rs12.78 Cr,Rs45.0 Cr,45.0,Special_26_2013,Special 26,165904.0
Street Dancer 3D,2020,Hindi,during_covid,41.11999988555908,ok,True,Dance,Dance,UA,UA,True,146.0,24 Jan 2020,False,Varun Dhawan; Prabhu Deva; Shraddha Kapoor; Nora Fatehi,Remo D'Souza,T-Series,1,3.8615714611296292,6,1.9154,1.986,0,Friday,1,6.554,46.0,Rs102.0 Cr,Rs73.97 Cr,Rs15.0 Cr,Rs100.0 Cr,100.0,Street_Dancer_2019,Street Dancer 3D,644712.0
Sultan,2016,Hindi,pre_covid,106.49999809265135,ok,True,"Drama, Sports",Drama,UA,U/A,True,170.0,06 Jul 2016,True,Randeep Hooda; Salman Khan; Anushka Sharma,Ali Abbas Zafar,Yash Raj Films,1,4.52815750050683,3,4.8341,2.3484,0,Wednesday,7,6.846,273.0,Rs627.82 Cr,Rs300.45 Cr,Rs206.57 Cr,Rs80.0 Cr,80.0,Sultan_2016,Sultan (2016 film),376812.0
Suraj Pe Mangal Bhari,2020,Hindi,during_covid,1.1500000059604645,ok,True,Comedy,Comedy,UA,UA,True,141.0,15 Nov 2020,True,Manoj Bajpayee; Rohit Roy; Diljit Dosanjh; Fatima Sana Shaikh; Neha Pendse,Abhishek Sharma,Zee Studio,1,3.088688776774614,6,1.509,0.9736,0,Sunday,11,6.5,14.0,Rs4.7 Cr,Rs3.3 Cr,Rs0.9 Cr,Rs25.0 Cr,25.0,Suraj_Pe_Mangal_Bhari_2020,Suraj Pe Mangal Bhari,738567.0
Tanhaji: The Unsung Warrior,2020,Hindi,during_covid,61.380001068115234,ok,True,"Drama, Historical",Drama,UA,UA,True,135.0,10 Jan 2020,False,Sharad Kelkar; Ajay Devgn; Saif Ali Khan; Kajol,Om Raut,T-Series,1,3.984343667007772,5,3.0493,1.583,0,Friday,1,6.399,89.0,Rs361.0 Cr,Rs277.75 Cr,Rs36.0 Cr,Rs150.0 Cr,150.0,Taanaji_2020,Tanhaji,584850.0
Table No. 21,2013,Hindi,pre_covid,5.879999756813049,ok,True,Thriller,Thriller,A,A,True,108.0,04 Jan 2013,False,,,,0,,0,1.0342,2.2087,0,Friday,1,6.417,84.0,Rs17.44 Cr,Rs10.68 Cr,Rs3.02 Cr,Rs8.0 Cr,8.0,Table_No._21_2013,Table No. 21,157129.0
